Page Number,Summary
1,"This document outlines the rules, regulations, and procedures for the Master of Technology programs in Enterprise Business Analytics, Intelligent Systems, and Software Engineering offered by the National University of Singapore's Institute of Systems Science (NUS-ISS). It is copyrighted by NUS and may not be reproduced without written permission. The document includes information on program structure, admission requirements, curriculum, and assessment."
2,"This document outlines the rules, regulations, and procedures for the Master of Technology (MTech) programs in Enterprise Business Analytics, Intelligent Systems, and Software Engineering at the National University of Singapore (NUS). It covers examination and capstone project regulations, student attendance regulations, tuition fee payment matters, specialist graduate certificates selection procedure, regulations on the use of NUS-ISS facilities and computer facilities, and student policies such as data protection and code of conduct. It also includes information on illness or absence during exams, failing exams or practice projects, and the passing requirements for the degree."
3,"The Master of Technology program at NUS offers specializations in Enterprise Business Analytics, Intelligent Systems, and Software Engineering. The program has policies in place, including a Do-Not-Call policy, Student Confidentiality Agreement, Intellectual Property Policy, and Acceptable Use Policy for IT Resources. Additional requirements include enrollment in the NUS Group Medical Insurance Scheme and restrictions on employment for full-time students. Video recording during lecture hours is also allowed. Contact information for the program is provided."
4,"This document outlines the rules, regulations, and procedures for students enrolled in the Master of Technology (MTech) program in Enterprise Business Analytics, Intelligent Systems, and Software Engineering at NUS-ISS. It is the responsibility of all students to familiarize themselves with these guidelines and comply with them, as well as with the policies and procedures of the National University of Singapore. The document is organized into sections covering examination and capstone project regulations, attendance, tuition fees, selection of Specialist Graduate Certificate, and use of NUS-ISS facilities and computer resources. The University reserves the right to make changes to these policies as needed."
5,"The document outlines the regulations for the Master of Technology (MTech) examinations and capstone project organized by NUS-ISS, as well as for the Graduate Certificates offered by NUS-ISS. All examination papers are treated as confidential and past papers are not available in the NUS Libraries. Sample questions and preparatory reading materials may be provided to assist students in their preparation. Revision sessions are not normally scheduled, but may be arranged upon request. Any changes to the rules, regulations, and procedures will be communicated to students via CANVAS. In the event of unexpected circumstances, such as pandemics, alternative modes of assessments or examinations may be carried out, and the rules and regulations for these will be separately communicated to students."
6,"Assessments, including practice projects and written examinations, are held after the completion of each Graduate Certificate for full-time and part-time students. The dates and times of these examinations are listed in the MTech timetable provided through CANVAS. Examinations are typically held on Saturdays at 9:00am, 2:00pm, or 6:30pm, and on weekday evenings at 6:30pm. There are no supplementary examinations for students who miss an exam. Students are required to sit according to a pre-defined seating plan and are allowed into the examination hall 10 minutes before the start of the exam. They may leave after completing the exam, but must stay until the official end time if they finish early. No"
7,"The document outlines rules and regulations for students taking the Master of Technology in Enterprise Business Analytics, Intelligent Systems, or Software Engineering at NUS. Students must raise their hand to communicate with an invigilator and cannot leave their seat without permission. They must also bring their NUS Student ID card for attendance taking and are not allowed to smoke or eat in the examination hall. In case of illness, students must report to the Programme Chief and submit a medical report within 48 hours. The report must be signed by a registered medical practitioner and any fees incurred are the student's responsibility. If a student falls ill during an examination, they may leave to seek medical attention and must submit a medical report within 48 hours. The Board of Examin"
8,"If a student is absent from an examination, they will automatically fail unless they have a valid reason and provide supporting documents within 48 hours. The Practice Module has both an examination and project component, and students must obtain at least a grade of 'D' in each to pass. If a student fails, they may retake the exam or project once, with a maximum grade of 'C+'. If they fail both, they must retake both, and if they fail one, they must retake that component. Retakes cost S$216 per module. No supplementary exams will be offered."
9,"The Practice Module is a crucial part of the Master of Technology (MTech) program, and all students must obtain a pass grade for both the practice project(s) and the written examination to pass the Graduate Certificate. Failure to submit the practice project(s) may result in failing the Graduate Certificate. MTech students are also required to pass all course-level assessments and may need to attend additional coaching sessions or re-assessments if they do not pass. There are no exemptions for assessments, including the Graduate Certificate examinations, practice projects, and the MTech capstone project. All students are required to complete a capstone project, which can be team-based or individual depending on the program. Part-time students must submit a proposal for their capstone project"
10,"The MTech capstone projects for Enterprise Business Analytics, Intelligent Systems, and Software Engineering aim to allow students to apply their knowledge from the program. Students must deliver a set of pre-defined deliverables on a schedule. Full-time students can request a one-month extension with valid reasons, while part-time students can request a 3-6 month extension for significant delays. Part-time students can also defer their project to their third or fourth year with approval, but the maximum candidature period is five years for part-time students and three years for full-time students. The required deliverables include project reports, presentations, software specifications, and user documentation. The projects will be assessed based on all deliverables, and if any are found to be unacceptable, students"
11,"The Master of Technology (MTech) degrees in Enterprise Business Analytics (EBAC) and Intelligent Systems (IS) consist of 49-51 units and 52-53 units respectively, depending on the combination of Graduate Certificates chosen. The EBAC degree includes compulsory courses in Analytics Project Management and Business Analytics Practice, as well as two specialist courses in fields such as Customer Analytics and Big Data Analytics. The IS degree also has compulsory courses in Intelligent Reasoning Systems and Pattern Recognition Systems, with options for specialist courses in areas such as Intelligent Sensing Systems and Intelligent Software Agents. Both degrees require a Capstone Project in the respective fields. The exact number of units may vary if a student takes a Leave of Absence (LOA) and"
12,"The Master of Technology in Software Engineering (MTech SE) degree consists of 50 units, but the exact combination of Graduate Certificates taken may vary. Students can choose from a range of specialist courses, including Designing and Managing Products and Platforms, Securing Ubiquitous Systems, Engineering Big Data, and Architecting Smart Systems. The Capstone Project is a compulsory component, worth 6 units. A grading scheme is used, with a grade point awarded for each examination or project, ranging from 5.0 for an A+ to 0 for an F. The grade point average (GPA) is calculated by weighting the grade point of each course by the units assigned to it and dividing by the total units assigned to all enrolled"
13,"The document outlines the academic standing rules for students in the Master of Technology program in Enterprise Business Analytics, Intelligent Systems, and Software Engineering. Students must maintain a GPA of at least 3.00 and may receive a warning or probation letter if their GPA falls below 3.00 or 2.50 for consecutive semesters. They must also pass both written examinations and practice projects for each Graduate Certificate, with a maximum of two attempts. Failure to pass a Fundamental Graduate Certificate twice will result in dismissal from the program. A final GPA of at least 3.00 and a satisfactory Capstone Project/Internship are required for graduation."
14,"The document outlines regulations for students pursuing a Master of Technology degree in Enterprise Business Analytics, Intelligent Systems, or Software Engineering at NUS-ISS. It states that if a student fails both the practice project(s) and written examination, they must retake both. If they fail the practice project(s) but pass the written examination, they only need to retake the practice project(s). If they pass the practice project(s) but fail the written examination, they only need to retake the written examination. If a student takes more than the minimum number of Graduate Certificates, their GPA will be calculated based on their performance in the fundamental certificate(s) and the best two specialist certificates. Students who achieve a minimum grade 'C' in the practice"
15,"The rules and regulations for attendance in the Master of Technology program state that students must maintain at least 75% attendance in all courses, with the exception of the Capstone Project which requires 100% attendance. Missing more than one lesson in a 4 or 5-day course or more than half a day in a 3-day course will result in the student having to retake the course, unless they have a valid reason approved by the management. Students can be granted ""permitted absence"" for medical reasons, reservist training, or urgent work commitments, but must provide appropriate documentation within 7 days of the missed class. In the case of permitted absence, students must consult the lecturer for a make-up session and must complete it before"
16,"The typical workload for the Master of Technology in Enterprise Business Analytics / Intelligent Systems / Software Engineering program involves attending two Fundamental Graduate Certificates and two Specialist Graduate Certificates, along with a Capstone Project. Full-time students complete this within 12 months, while part-time students complete it over two years. Leave of absence or deferment is not allowed during the first semester, except for medical reasons, and must be requested before the start of the semester. Students can request a conversion of academic load before the semester begins and may be granted a minimum of one semester and a maximum of four semesters of leave of absence. The duration of candidature must not exceed 5 years for part-time students and 3 years for full-time students. Students who"
17,"Students enrolled in the Master of Technology (MTech) program at NUS-ISS are required to return their NUS Student ID card and any NUS-ISS or NUS property in their possession upon completion or withdrawal from the program. Payment of tuition fees is the responsibility of the student and must be made by the given due date for each semester. Tuition fees are invoiced per semester and can be paid through the NUS-EduRec system. Refunds for tuition fees are only available if a withdrawal request is submitted before the first lesson of the first course starts. After that, students will be liable for the fees for the first course. The same timeline applies to subsequent courses."
18,"Students must pay all outstanding fees before they can sit for exams or have their exam marks processed and uploaded. The NSI will only be lifted once full payment is made. Students are required to select two out of four specialist graduate certificates, and the selection process will be on a first come first served basis. The selection must be made before the first exam for full-time students and in May for part-time students. Once selected, students cannot change their specialist certificates. NUS-ISS provides facilities for MTech courses, and regulations on their use are outlined in the document."
19,"property, they will be held liable for the cost

The regulations for students enrolled in the Master of Technology program at NUS-ISS include appropriate attire, carrying a student ID card, inviting guests only during certain hours and registering them with security, only registered students being allowed to attend classes, course materials not to be shared without approval, parking available for students, no smoking or eating in the classrooms, no secretarial/administrative support provided, and students being held liable for any damage to property."
