Page Number,Summary
1,"The document discusses the use of deep learning in video analytics, specifically focusing on Convolutional Neural Network (CNN) and Transformer-based models. The author, Dr. Tian Jing, is an expert in this field and can be contacted at a redacted email address. The document is copyrighted by the National University of Singapore and all rights are reserved."
2,"The document provides an overview of video analytics and its applications, specifically focusing on video classification using deep learning. It discusses two methods for video classification - CNN-based and Transformer-based - and their respective advantages and limitations. The document is copyrighted by the National University of Singapore."
3,"The document discusses the benefits of video analytics, which can answer the four ""W"" questions (who, what, where, when) through people detection and identification, object and action analysis, and spatial and temporal analysis. This technology can be used in real-time for situation awareness and alerting, in forensic analysis for archive management and investigation, and in predictive analysis for event and anomaly detection. The NIST report on video analytics in public safety is referenced as a source."
4,"The document discusses the applications of video analytics, including intelligent assisted living, crowd analysis in surveillance, and social activity recognition. Examples of these applications include using deep learning to recognize actions and behaviors of senior citizens in assisted living facilities, analyzing crowd movement in surveillance footage, and recognizing social activities in public spaces. These applications have the potential to improve safety and security, as well as provide valuable insights for various industries."
5,"The document discusses the use of deep learning for action video recognition, which involves identifying and labeling different types of actions in a video. This includes recognizing atomic motion patterns, gestures, and single clear-cut trajectories, as well as series or compositions of actions and combinations of activities or actions. The goal is to accurately label the entire video clip with the appropriate action, and examples of this application include sports games and traffic accidents."
6,"The document discusses the use of deep learning for video analytics, specifically in the context of action recognition. It references a paper on video action understanding and highlights the challenges and potential applications of this technology. The goal is to accurately identify and classify actions in videos, which can have various real-world applications such as surveillance and sports analysis. The document also mentions the use of convolutional neural networks (CNNs) for feature extraction and the importance of large datasets for training deep learning models."
7,"The document discusses the use of deep learning in video analytics, specifically in action video recognition. It provides an example of UCF11, a dataset commonly used for action recognition research. The dataset contains 11 action categories and is used to train and evaluate deep learning models for action recognition tasks. The document also mentions the use of pre-trained models and transfer learning in action recognition."
8,"The document discusses the challenges of action video recognition, including intra- and inter-class variations, cluttered backgrounds and camera motion, insufficient annotated datasets, uneven contributions from frames, and long-tailed distributions. It also mentions the importance of deep learning in addressing these challenges and provides a link to a figure showing the major image and video datasets used for intelligent video analysis."
9,"The document discusses the Action video recognition dataset, which contains examples of human and non-human actions, annotated with action classes, temporal markers, and spatiotemporal bounding boxes/masks. This dataset is useful for studying and developing video action understanding techniques. The reference for this dataset is provided as ""Video Action Understanding"" on IEEE Xplore."
10,"The use of deep learning in video analytics has led to significant advancements in understanding and analyzing actions in videos. One key aspect of this is data augmentation, which involves adding variations to the training data to improve the model's performance. Geometric, photometric, and chronometric augmentations are commonly used techniques to create variations in the data. Geometric augmentation involves manipulating the spatial positions of objects in the video, while photometric augmentation alters the color and lighting conditions. Chronometric augmentation changes the temporal aspects of the video, such as playback speed. These techniques have been shown to improve the accuracy of action recognition models and can be applied to various types of action videos."
11,"The document discusses the use of augmentation techniques in action videos for deep learning models. Specifically, it mentions the use of RandAugment-T, which randomly selects a certain number of augmentations from a list of operations and applies them to a set of frames with specified magnitudes. Examples of augmentations include rotation, posterization, equalization, and color adjustments. The document also provides a reference for further information on this technique."
12,"The document discusses the use of augmentation techniques in deep learning for action video analysis. Temporally varying geometric augmentations, such as vertical-down translation and clockwise rotation, can help improve the robustness of models to changes in camera angles and viewpoints. Similarly, temporally varying photometric augmentations, such as increasing brightness and decreasing contrast, can help models handle changes in lighting conditions. These techniques can enhance the performance of deep learning models for action video analysis."
13,"of a running horse by Eadweard

The Horse in Motion, a series of cabinet cards by Eadweard Muybridge in 1878, is considered a significant study in action video recognition. It consists of sequential photos capturing the movement of a horse, which were later used to create an animation. This study is referenced in the field of video analytics using deep learning."
14,"This section discusses a study from 1992 that focused on recognizing human actions in videos using a hidden Markov model. The study used time-sequential images to identify the state of action, with a symbol representing the number of the state. This approach can be useful in analyzing action videos in their original background and foreground."
15,"The document discusses the idea of using a single frame to recognize actions in videos. This approach involves building an image classification model based on action categories and applying it to each frame independently, followed by a major voting from multiple frames in the input sequence. The MPII human pose dataset, which contains 410 actions and 40000 instances, is used for this method."
16,The document discusses a method for reusing single image classification techniques for video analysis. The idea is to convert a video sequence into a single frame by extracting and combining silhouettes from the frames. This approach is based on the concept of background subtraction and involves centering and normalizing the silhouette images to maintain their aspect ratio. The technique is inspired by a research paper on recognizing human activities from silhouettes.
17,"The motion energy image is a binary image that represents the cumulative motion in a video sequence, with brighter regions indicating movement. It is calculated based on the past N frames and can be used to detect and track human movement. This concept is based on the research paper ""The recognition of human movement using temporal templates."""
18,"The document discusses different methods for feature extraction in motion energy images, which are used in video analytics using deep learning. These methods include hand-crafted shape representation, such as chain code, histogram, and geometrical features, as well as region-based methods such as counting non-zero pixels or calculating gradient histograms. These methods can be used to generate labels and extract features from motion energy maps, which can then be used for tasks such as character recognition."
19,"The document provides an overview of video analytics and its use in deep learning, specifically through CNN-based and Transformer-based methods for video classification. It explains the benefits and challenges of using these techniques and discusses their potential applications in various industries. The document also highlights the importance of data labeling and model training for accurate results."
20,"The document discusses a tutorial on video modelling presented at CVPR 2020 and 2021. The tutorial covers various topics related to action video recognition, including deep learning techniques and applications. It also provides resources for further learning, such as links to related papers and code repositories. The tutorial aims to provide a comprehensive understanding of video modelling and its applications in computer vision."
21,"The process of action video recognition involves treating a video sequence as a fixed-size bag of clips, also known as ""trimmed video classification."" This can be done through sliding window or automatic segmentation into shorter sequences, known as action localization. The key questions in this process include determining which features, such as semantic or motion, need to be extracted and where they should be extracted from, such as every pixel or key points, and which frames should be used."
