Page,Summary
Page 1,SRSD Day3 worksheet
Page 2, This activity involves a group discussion . Each participant is required to submit their work individually . It is permissible to submit the same file as their teammate .
Page 3,Page 1
Page 4,Team members
Page 5, List your team members’ full name (as in your course registration) List their full name as in your team member’s full name .
Page 6,Page 2
Page 7,Case study
Page 8, Landing.ai creates an AI tool to help customers monitor social distance in the workplace . Landing.AI.ai is the latest in a series of ways to use the tool to monitor workplace social distance .
Page 9, Solution 2: FinePose (AI Singapore) https://aisingapore.org/2020/05/finepose-2/ .
Page 10,Page 3
Page 11,Technical discussion
Page 12, Solution 1: Langding.ai Solution 2: FinePose Technical solution: How is the social distance inferred? Limitation: When would the solution fail? Do you think the additional depth sensor/data could help with the system?
Page 13,Page 4
Page 14,Business discussion
Page 15," If you are the business owner (e.g., shopping mall owner or facility manager), provide one reason to agree to deploy these solutions . If you're not a business owner, provide a reason to decline these solutions, and provide one"
Page 16, Langding.ai: FinePose.ai Solution 1: Langding .ai Solution 2: Agree to deploy . Agrees to deploy and decline to deploy. Decline to deploy to deploy as required .
Page 17,Page 5
Overall Summary," Each participant is required to submit their work individually, although it's permissible to submit the same file as their teammate . This activity involves a group discussion ."
