Page,Summary
Page 1,VSE Day4 worksheet
Page 2, This activity involves a group discussion . Each participant is required to submit their work individually . It is permissible to submit the same file as their teammate .
Page 3,Page 1
Page 4,Team members
Page 5, List your team members’ full name (as in your course registration) List their full name as in your team member’s full name .
Page 6,Page 2
Page 7,Case study
Page 8," Piano playing techniques are crucial for a pianist to expressively convey musical textures and dynamics . After the two hands are detected and correctly tracked from the video sequence, their skeleton points can be further detected to form the kinematic features for"
Page 9," Examples of 21 hand key points (5 key points for the thumb and 4 for each of the rest fingers) Examples of thumb, thumb, and other fingers ."
Page 10,Page 3
Page 11,Case study
Page 12, Question 1. Suggest one skeleton manipulation method to modify one skeleton sequence to construct the pair of skeleton sequences . Suggest a method to use the same method to construct a pair of skeletons .
Page 13, The action recognition model is trained based on two constraints . The first constraint (blue box) requires the predicted category to be consistent with its ground-truth class label . The second constraint (orange box) aims to reduce the feature distance between
Page 14,Page 4
Page 15,Your answers to Q1
Page 16,Page 5
Page 17,Your answers to Q2
Page 18,Page 6
Overall Summary," VSE Day4 worksheet: This activity involves a group discussion . Each participant is required to submit their work individually, although it's permissible to submit the same file as their teammate ."
